Pickup Location,Hour,Date,ride_count,DayOfWeek,IsWeekend,Pickup_loc_code
Area-1,6,19/01/2024,1,4,0,0
Area-1,6,22/01/2024,2,0,0,0
Area-1,6,29/01/2024,1,0,0,0
Area-1,7,02/01/2024,2,1,0,0
Area-1,7,03/01/2024,1,2,0,0
Area-1,7,05/01/2024,1,4,0,0
Area-1,7,14/01/2024,1,6,1,0
Area-1,7,15/01/2024,3,0,0,0
Area-1,7,17/01/2024,1,2,0,0
Area-1,7,18/01/2024,2,3,0,0
Area-1,7,19/01/2024,1,4,0,0
Area-1,7,28/01/2024,2,6,1,0
Area-1,8,06/01/2024,1,5,1,0
Area-1,8,07/01/2024,1,6,1,0
Area-1,8,10/01/2024,2,2,0,0
Area-1,8,13/01/2024,1,5,1,0
Area-1,8,14/01/2024,2,6,1,0
Area-1,8,19/01/2024,1,4,0,0
Area-1,8,22/01/2024,1,0,0,0
Area-1,8,26/01/2024,2,4,0,0
Area-1,8,28/01/2024,1,6,1,0
Area-1,8,29/01/2024,1,0,0,0
Area-1,8,30/01/2024,1,1,0,0
Area-1,9,03/01/2024,1,2,0,0
Area-1,9,04/01/2024,1,3,0,0
Area-1,9,06/01/2024,1,5,1,0
Area-1,9,13/01/2024,1,5,1,0
Area-1,9,19/01/2024,1,4,0,0
Area-1,9,20/01/2024,1,5,1,0
Area-1,9,23/01/2024,2,1,0,0
Area-1,9,29/01/2024,1,0,0,0
Area-1,10,06/01/2024,1,5,1,0
Area-1,10,09/01/2024,3,1,0,0
Area-1,10,10/01/2024,2,2,0,0
Area-1,10,11/01/2024,2,3,0,0
Area-1,10,12/01/2024,2,4,0,0
Area-1,10,15/01/2024,2,0,0,0
Area-1,10,21/01/2024,1,6,1,0
Area-1,10,24/01/2024,1,2,0,0
Area-1,10,25/01/2024,1,3,0,0
Area-1,10,26/01/2024,1,4,0,0
Area-1,10,27/01/2024,1,5,1,0
Area-1,10,29/01/2024,1,0,0,0
Area-1,11,02/01/2024,1,1,0,0
Area-1,11,03/01/2024,1,2,0,0
Area-1,11,08/01/2024,1,0,0,0
Area-1,11,09/01/2024,1,1,0,0
Area-1,11,18/01/2024,1,3,0,0
Area-1,11,19/01/2024,1,4,0,0
Area-1,11,22/01/2024,1,0,0,0
Area-1,11,25/01/2024,1,3,0,0
Area-1,11,26/01/2024,1,4,0,0
Area-1,11,28/01/2024,1,6,1,0
Area-1,11,29/01/2024,1,0,0,0
Area-1,12,10/01/2024,1,2,0,0
Area-1,12,11/01/2024,1,3,0,0
Area-1,12,15/01/2024,1,0,0,0
Area-1,12,16/01/2024,1,1,0,0
Area-1,12,19/01/2024,1,4,0,0
Area-1,12,20/01/2024,1,5,1,0
Area-1,12,22/01/2024,1,0,0,0
Area-1,12,25/01/2024,1,3,0,0
Area-1,12,26/01/2024,1,4,0,0
Area-1,12,29/01/2024,1,0,0,0
Area-1,12,30/01/2024,1,1,0,0
Area-1,13,02/01/2024,1,1,0,0
Area-1,13,04/01/2024,2,3,0,0
Area-1,13,05/01/2024,1,4,0,0
Area-1,13,10/01/2024,1,2,0,0
Area-1,13,17/01/2024,1,2,0,0
Area-1,13,19/01/2024,1,4,0,0
Area-1,13,25/01/2024,1,3,0,0
Area-1,13,28/01/2024,1,6,1,0
Area-1,14,03/01/2024,1,2,0,0
Area-1,14,04/01/2024,1,3,0,0
Area-1,14,05/01/2024,1,4,0,0
Area-1,14,10/01/2024,1,2,0,0
Area-1,14,11/01/2024,1,3,0,0
Area-1,14,17/01/2024,1,2,0,0
Area-1,14,18/01/2024,2,3,0,0
Area-1,14,19/01/2024,1,4,0,0
Area-1,14,21/01/2024,1,6,1,0
Area-1,14,22/01/2024,1,0,0,0
Area-1,14,28/01/2024,1,6,1,0
Area-1,15,03/01/2024,1,2,0,0
Area-1,15,04/01/2024,1,3,0,0
Area-1,15,16/01/2024,1,1,0,0
Area-1,15,19/01/2024,1,4,0,0
Area-1,15,28/01/2024,1,6,1,0
Area-1,15,30/01/2024,1,1,0,0
Area-1,16,01/01/2024,1,0,0,0
Area-1,16,02/01/2024,1,1,0,0
Area-1,16,04/01/2024,1,3,0,0
Area-1,16,07/01/2024,2,6,1,0
Area-1,16,10/01/2024,1,2,0,0
Area-1,16,11/01/2024,1,3,0,0
Area-1,16,16/01/2024,1,1,0,0
Area-1,16,17/01/2024,1,2,0,0
Area-1,16,22/01/2024,1,0,0,0
Area-1,16,23/01/2024,1,1,0,0
Area-1,17,02/01/2024,1,1,0,0
Area-1,17,03/01/2024,2,2,0,0
Area-1,17,06/01/2024,1,5,1,0
Area-1,17,08/01/2024,1,0,0,0
Area-1,17,13/01/2024,1,5,1,0
Area-1,17,14/01/2024,2,6,1,0
Area-1,17,15/01/2024,1,0,0,0
Area-1,17,17/01/2024,1,2,0,0
Area-1,17,21/01/2024,2,6,1,0
Area-1,17,23/01/2024,1,1,0,0
Area-1,17,26/01/2024,3,4,0,0
Area-1,17,30/01/2024,1,1,0,0
Area-1,18,01/01/2024,1,0,0,0
Area-1,18,03/01/2024,2,2,0,0
Area-1,18,06/01/2024,1,5,1,0
Area-1,18,11/01/2024,2,3,0,0
Area-1,18,19/01/2024,1,4,0,0
Area-1,18,22/01/2024,1,0,0,0
Area-1,18,24/01/2024,1,2,0,0
Area-1,18,27/01/2024,2,5,1,0
Area-1,18,30/01/2024,1,1,0,0
Area-1,19,08/01/2024,1,0,0,0
Area-1,19,12/01/2024,2,4,0,0
Area-1,19,13/01/2024,1,5,1,0
Area-1,19,16/01/2024,1,1,0,0
Area-1,19,18/01/2024,1,3,0,0
Area-1,19,25/01/2024,1,3,0,0
Area-1,19,30/01/2024,1,1,0,0
Area-1,20,01/01/2024,2,0,0,0
Area-1,20,02/01/2024,1,1,0,0
Area-1,20,08/01/2024,1,0,0,0
Area-1,20,09/01/2024,1,1,0,0
Area-1,20,10/01/2024,1,2,0,0
Area-1,20,12/01/2024,1,4,0,0
Area-1,20,14/01/2024,1,6,1,0
Area-1,20,16/01/2024,1,1,0,0
Area-1,20,18/01/2024,1,3,0,0
Area-1,20,20/01/2024,1,5,1,0
Area-1,20,27/01/2024,1,5,1,0
Area-1,20,29/01/2024,1,0,0,0
Area-1,21,04/01/2024,1,3,0,0
Area-1,21,07/01/2024,1,6,1,0
Area-1,21,08/01/2024,2,0,0,0
Area-1,21,09/01/2024,1,1,0,0
Area-1,21,12/01/2024,1,4,0,0
Area-1,21,13/01/2024,1,5,1,0
Area-1,21,14/01/2024,1,6,1,0
Area-1,21,19/01/2024,1,4,0,0
Area-1,21,20/01/2024,1,5,1,0
Area-1,21,24/01/2024,1,2,0,0
Area-1,21,26/01/2024,3,4,0,0
Area-1,21,27/01/2024,1,5,1,0
Area-1,21,29/01/2024,3,0,0,0
Area-1,21,30/01/2024,3,1,0,0
Area-1,22,03/01/2024,2,2,0,0
Area-1,22,06/01/2024,1,5,1,0
Area-1,22,12/01/2024,1,4,0,0
Area-1,22,13/01/2024,1,5,1,0
Area-1,22,16/01/2024,3,1,0,0
Area-1,22,19/01/2024,1,4,0,0
Area-1,22,21/01/2024,1,6,1,0
Area-1,22,26/01/2024,1,4,0,0
Area-1,22,27/01/2024,1,5,1,0
Area-1,22,28/01/2024,1,6,1,0
Area-1,23,03/01/2024,1,2,0,0
Area-1,23,05/01/2024,1,4,0,0
Area-1,23,11/01/2024,1,3,0,0
Area-1,23,14/01/2024,1,6,1,0
Area-1,23,18/01/2024,1,3,0,0
Area-1,23,21/01/2024,2,6,1,0
Area-1,23,25/01/2024,1,3,0,0
Area-1,23,28/01/2024,1,6,1,0
Area-1,23,30/01/2024,3,1,0,0
Area-10,0,05/01/2024,1,4,0,1
Area-10,0,14/01/2024,1,6,1,1
Area-10,0,16/01/2024,1,1,0,1
Area-10,0,17/01/2024,2,2,0,1
Area-10,0,18/01/2024,1,3,0,1
Area-10,0,20/01/2024,2,5,1,1
Area-10,0,23/01/2024,1,1,0,1
Area-10,0,26/01/2024,1,4,0,1
Area-10,0,28/01/2024,1,6,1,1
Area-10,1,01/01/2024,1,0,0,1
Area-10,1,02/01/2024,1,1,0,1
Area-10,1,03/01/2024,1,2,0,1
Area-10,1,04/01/2024,1,3,0,1
Area-10,1,05/01/2024,4,4,0,1
Area-10,1,07/01/2024,1,6,1,1
Area-10,1,08/01/2024,2,0,0,1
Area-10,1,09/01/2024,1,1,0,1
Area-10,1,13/01/2024,1,5,1,1
Area-10,1,15/01/2024,2,0,0,1
Area-10,1,19/01/2024,1,4,0,1
Area-10,1,22/01/2024,1,0,0,1
Area-10,1,27/01/2024,2,5,1,1
Area-10,2,01/01/2024,1,0,0,1
Area-10,2,05/01/2024,1,4,0,1
Area-10,2,13/01/2024,1,5,1,1
Area-10,2,15/01/2024,1,0,0,1
Area-10,2,16/01/2024,2,1,0,1
Area-10,2,19/01/2024,1,4,0,1
Area-10,2,21/01/2024,1,6,1,1
Area-10,2,25/01/2024,2,3,0,1
Area-10,2,26/01/2024,1,4,0,1
Area-10,2,28/01/2024,1,6,1,1
Area-10,3,03/01/2024,1,2,0,1
Area-10,3,06/01/2024,1,5,1,1
Area-10,3,07/01/2024,1,6,1,1
Area-10,3,10/01/2024,2,2,0,1
Area-10,3,13/01/2024,2,5,1,1
Area-10,3,17/01/2024,1,2,0,1
Area-10,3,23/01/2024,1,1,0,1
Area-10,3,25/01/2024,1,3,0,1
Area-10,3,26/01/2024,1,4,0,1
Area-10,3,27/01/2024,1,5,1,1
Area-10,4,01/01/2024,1,0,0,1
Area-10,4,02/01/2024,3,1,0,1
Area-10,4,03/01/2024,1,2,0,1
Area-10,4,04/01/2024,2,3,0,1
Area-10,4,11/01/2024,1,3,0,1
Area-10,4,12/01/2024,3,4,0,1
Area-10,4,19/01/2024,1,4,0,1
Area-10,4,20/01/2024,1,5,1,1
Area-10,4,25/01/2024,1,3,0,1
Area-10,4,29/01/2024,1,0,0,1
Area-10,4,30/01/2024,1,1,0,1
Area-10,5,03/01/2024,3,2,0,1
Area-10,5,07/01/2024,1,6,1,1
Area-10,5,11/01/2024,2,3,0,1
Area-10,5,13/01/2024,1,5,1,1
Area-10,5,18/01/2024,1,3,0,1
Area-10,5,24/01/2024,2,2,0,1
Area-10,5,25/01/2024,1,3,0,1
Area-10,5,26/01/2024,1,4,0,1
Area-10,6,02/01/2024,1,1,0,1
Area-10,6,03/01/2024,1,2,0,1
Area-10,6,17/01/2024,1,2,0,1
Area-10,6,22/01/2024,3,0,0,1
Area-10,6,26/01/2024,1,4,0,1
Area-10,6,28/01/2024,2,6,1,1
Area-10,6,29/01/2024,1,0,0,1
Area-10,6,30/01/2024,1,1,0,1
Area-10,7,01/01/2024,1,0,0,1
Area-10,7,05/01/2024,1,4,0,1
Area-10,7,13/01/2024,1,5,1,1
Area-10,7,15/01/2024,1,0,0,1
Area-10,7,16/01/2024,1,1,0,1
Area-10,7,18/01/2024,1,3,0,1
Area-10,7,20/01/2024,1,5,1,1
Area-10,7,21/01/2024,1,6,1,1
Area-10,7,22/01/2024,1,0,0,1
Area-10,7,23/01/2024,1,1,0,1
Area-10,7,24/01/2024,1,2,0,1
Area-10,7,25/01/2024,1,3,0,1
Area-10,7,26/01/2024,1,4,0,1
Area-10,7,27/01/2024,1,5,1,1
Area-10,7,29/01/2024,1,0,0,1
Area-10,8,09/01/2024,1,1,0,1
Area-10,8,15/01/2024,1,0,0,1
Area-10,8,18/01/2024,1,3,0,1
Area-10,8,22/01/2024,1,0,0,1
Area-10,8,25/01/2024,1,3,0,1
Area-10,8,28/01/2024,1,6,1,1
Area-10,9,03/01/2024,2,2,0,1
Area-10,9,05/01/2024,1,4,0,1
Area-10,9,06/01/2024,1,5,1,1
Area-10,9,11/01/2024,1,3,0,1
Area-10,9,14/01/2024,2,6,1,1
Area-10,9,16/01/2024,2,1,0,1
Area-10,9,17/01/2024,1,2,0,1
Area-10,9,19/01/2024,1,4,0,1
Area-10,9,22/01/2024,1,0,0,1
Area-10,9,23/01/2024,1,1,0,1
Area-10,9,26/01/2024,4,4,0,1
Area-10,9,27/01/2024,2,5,1,1
Area-10,9,28/01/2024,1,6,1,1
Area-10,9,30/01/2024,1,1,0,1
Area-10,10,05/01/2024,1,4,0,1
Area-10,10,07/01/2024,1,6,1,1
Area-10,10,13/01/2024,1,5,1,1
Area-10,10,22/01/2024,1,0,0,1
Area-10,10,24/01/2024,2,2,0,1
Area-10,10,25/01/2024,1,3,0,1
Area-10,10,27/01/2024,1,5,1,1
Area-10,10,28/01/2024,1,6,1,1
Area-10,11,01/01/2024,1,0,0,1
Area-10,11,11/01/2024,1,3,0,1
Area-10,11,14/01/2024,1,6,1,1
Area-10,11,16/01/2024,1,1,0,1
Area-10,11,17/01/2024,1,2,0,1
Area-10,11,26/01/2024,1,4,0,1
Area-10,11,27/01/2024,1,5,1,1
Area-10,12,06/01/2024,1,5,1,1
Area-10,12,09/01/2024,1,1,0,1
Area-10,12,11/01/2024,1,3,0,1
Area-10,12,12/01/2024,1,4,0,1
Area-10,12,13/01/2024,1,5,1,1
Area-10,12,14/01/2024,1,6,1,1
Area-10,12,16/01/2024,1,1,0,1
Area-10,12,18/01/2024,1,3,0,1
Area-10,12,19/01/2024,1,4,0,1
Area-10,12,20/01/2024,1,5,1,1
Area-10,12,23/01/2024,2,1,0,1
Area-10,12,24/01/2024,1,2,0,1
Area-10,12,25/01/2024,1,3,0,1
Area-10,12,27/01/2024,1,5,1,1
Area-10,12,29/01/2024,1,0,0,1
Area-10,12,30/01/2024,1,1,0,1
Area-10,13,02/01/2024,1,1,0,1
Area-10,13,04/01/2024,1,3,0,1
Area-10,13,16/01/2024,1,1,0,1
Area-10,13,19/01/2024,1,4,0,1
Area-10,13,23/01/2024,1,1,0,1
Area-10,13,25/01/2024,1,3,0,1
Area-10,13,26/01/2024,1,4,0,1
Area-10,13,29/01/2024,2,0,0,1
Area-10,14,02/01/2024,1,1,0,1
Area-10,14,03/01/2024,1,2,0,1
Area-10,14,09/01/2024,2,1,0,1
Area-10,14,16/01/2024,1,1,0,1
Area-10,14,18/01/2024,1,3,0,1
Area-10,14,19/01/2024,1,4,0,1
Area-10,14,22/01/2024,1,0,0,1
Area-10,14,26/01/2024,1,4,0,1
Area-10,14,27/01/2024,1,5,1,1
Area-10,14,29/01/2024,1,0,0,1
Area-10,15,02/01/2024,1,1,0,1
Area-10,15,09/01/2024,1,1,0,1
Area-10,15,10/01/2024,1,2,0,1
Area-10,15,11/01/2024,1,3,0,1
Area-10,15,12/01/2024,1,4,0,1
Area-10,15,13/01/2024,1,5,1,1
Area-10,15,20/01/2024,1,5,1,1
Area-10,15,24/01/2024,1,2,0,1
Area-10,15,26/01/2024,1,4,0,1
Area-10,15,28/01/2024,1,6,1,1
Area-10,16,11/01/2024,1,3,0,1
Area-10,16,14/01/2024,1,6,1,1
Area-10,16,17/01/2024,1,2,0,1
Area-10,16,21/01/2024,1,6,1,1
Area-10,16,22/01/2024,1,0,0,1
Area-10,16,23/01/2024,1,1,0,1
Area-10,16,25/01/2024,1,3,0,1
Area-10,17,01/01/2024,1,0,0,1
Area-10,17,02/01/2024,1,1,0,1
Area-10,17,04/01/2024,1,3,0,1
Area-10,17,05/01/2024,1,4,0,1
Area-10,17,15/01/2024,1,0,0,1
Area-10,17,17/01/2024,1,2,0,1
Area-10,17,20/01/2024,1,5,1,1
Area-10,17,21/01/2024,1,6,1,1
Area-10,17,28/01/2024,1,6,1,1
Area-10,18,01/01/2024,1,0,0,1
Area-10,18,02/01/2024,1,1,0,1
Area-10,18,06/01/2024,1,5,1,1
Area-10,18,07/01/2024,1,6,1,1
Area-10,18,10/01/2024,1,2,0,1
Area-10,18,16/01/2024,1,1,0,1
Area-10,18,17/01/2024,2,2,0,1
Area-10,18,18/01/2024,1,3,0,1
Area-10,18,20/01/2024,1,5,1,1
Area-10,18,22/01/2024,2,0,0,1
Area-10,18,27/01/2024,1,5,1,1
Area-10,18,29/01/2024,1,0,0,1
Area-10,18,30/01/2024,1,1,0,1
Area-10,19,12/01/2024,1,4,0,1
Area-10,19,14/01/2024,2,6,1,1
Area-10,19,15/01/2024,1,0,0,1
Area-10,19,18/01/2024,2,3,0,1
Area-10,19,19/01/2024,1,4,0,1
Area-10,19,20/01/2024,1,5,1,1
Area-10,19,22/01/2024,1,0,0,1
Area-10,19,23/01/2024,1,1,0,1
Area-10,19,25/01/2024,1,3,0,1
Area-10,19,27/01/2024,2,5,1,1
Area-10,19,28/01/2024,2,6,1,1
Area-10,19,30/01/2024,1,1,0,1
Area-10,20,02/01/2024,2,1,0,1
Area-10,20,08/01/2024,1,0,0,1
Area-10,20,10/01/2024,1,2,0,1
Area-10,20,11/01/2024,1,3,0,1
Area-10,20,14/01/2024,1,6,1,1
Area-10,20,17/01/2024,2,2,0,1
Area-10,20,27/01/2024,1,5,1,1
Area-10,20,29/01/2024,1,0,0,1
Area-10,20,30/01/2024,1,1,0,1
Area-10,21,03/01/2024,1,2,0,1
Area-10,21,17/01/2024,1,2,0,1
Area-10,21,18/01/2024,1,3,0,1
Area-10,21,21/01/2024,1,6,1,1
Area-10,21,23/01/2024,1,1,0,1
Area-10,21,24/01/2024,1,2,0,1
Area-10,21,26/01/2024,1,4,0,1
Area-10,21,30/01/2024,2,1,0,1
Area-10,22,01/01/2024,1,0,0,1
Area-10,22,06/01/2024,2,5,1,1
Area-10,22,11/01/2024,1,3,0,1
Area-10,22,17/01/2024,1,2,0,1
Area-10,22,20/01/2024,1,5,1,1
Area-10,22,21/01/2024,1,6,1,1
Area-10,22,25/01/2024,1,3,0,1
Area-10,22,29/01/2024,1,0,0,1
Area-10,22,30/01/2024,2,1,0,1
Area-10,23,01/01/2024,1,0,0,1
Area-10,23,03/01/2024,1,2,0,1
Area-10,23,05/01/2024,1,4,0,1
Area-10,23,17/01/2024,1,2,0,1
Area-10,23,18/01/2024,1,3,0,1
Area-10,23,19/01/2024,1,4,0,1
Area-10,23,22/01/2024,1,0,0,1
Area-10,23,25/01/2024,1,3,0,1
Area-10,23,26/01/2024,1,4,0,1
Area-10,23,30/01/2024,1,1,0,1
Area-11,0,01/01/2024,1,0,0,2
Area-11,0,03/01/2024,2,2,0,2
Area-11,0,08/01/2024,2,0,0,2
Area-11,0,09/01/2024,1,1,0,2
Area-11,0,14/01/2024,1,6,1,2
Area-11,0,16/01/2024,1,1,0,2
Area-11,0,18/01/2024,1,3,0,2
Area-11,0,19/01/2024,1,4,0,2
Area-11,0,25/01/2024,1,3,0,2
Area-11,0,26/01/2024,1,4,0,2
Area-11,0,27/01/2024,1,5,1,2
Area-11,0,30/01/2024,2,1,0,2
Area-11,0,31/01/2024,1,2,0,2
Area-11,1,11/01/2024,2,3,0,2
Area-11,1,12/01/2024,1,4,0,2
Area-11,1,14/01/2024,1,6,1,2
Area-11,1,15/01/2024,1,0,0,2
Area-11,1,21/01/2024,1,6,1,2
Area-11,1,27/01/2024,1,5,1,2
Area-11,1,30/01/2024,1,1,0,2
Area-11,2,01/01/2024,2,0,0,2
Area-11,2,03/01/2024,2,2,0,2
Area-11,2,05/01/2024,2,4,0,2
Area-11,2,06/01/2024,1,5,1,2
Area-11,2,09/01/2024,1,1,0,2
Area-11,2,12/01/2024,1,4,0,2
Area-11,2,14/01/2024,2,6,1,2
Area-11,2,18/01/2024,1,3,0,2
Area-11,2,24/01/2024,1,2,0,2
Area-11,2,25/01/2024,2,3,0,2
Area-11,2,27/01/2024,1,5,1,2
Area-11,2,29/01/2024,3,0,0,2
Area-11,3,02/01/2024,2,1,0,2
Area-11,3,10/01/2024,1,2,0,2
Area-11,3,18/01/2024,1,3,0,2
Area-11,3,19/01/2024,1,4,0,2
Area-11,3,20/01/2024,2,5,1,2
Area-11,3,21/01/2024,1,6,1,2
Area-11,3,23/01/2024,1,1,0,2
Area-11,3,24/01/2024,1,2,0,2
Area-11,3,29/01/2024,1,0,0,2
Area-11,4,08/01/2024,1,0,0,2
Area-11,4,12/01/2024,1,4,0,2
Area-11,4,16/01/2024,2,1,0,2
Area-11,4,18/01/2024,1,3,0,2
Area-11,4,19/01/2024,1,4,0,2
Area-11,4,27/01/2024,1,5,1,2
Area-11,4,29/01/2024,1,0,0,2
Area-11,5,01/01/2024,1,0,0,2
Area-11,5,03/01/2024,1,2,0,2
Area-11,5,05/01/2024,1,4,0,2
Area-11,5,06/01/2024,1,5,1,2
Area-11,5,07/01/2024,1,6,1,2
Area-11,5,12/01/2024,1,4,0,2
Area-11,5,18/01/2024,1,3,0,2
Area-11,5,19/01/2024,1,4,0,2
Area-11,5,23/01/2024,1,1,0,2
Area-11,5,24/01/2024,1,2,0,2
Area-11,5,26/01/2024,1,4,0,2
Area-11,5,28/01/2024,1,6,1,2
Area-11,6,03/01/2024,1,2,0,2
Area-11,6,06/01/2024,2,5,1,2
Area-11,6,15/01/2024,2,0,0,2
Area-11,6,21/01/2024,2,6,1,2
Area-11,6,24/01/2024,1,2,0,2
Area-11,6,26/01/2024,1,4,0,2
Area-11,6,28/01/2024,1,6,1,2
Area-11,7,01/01/2024,1,0,0,2
Area-11,7,04/01/2024,1,3,0,2
Area-11,7,07/01/2024,2,6,1,2
Area-11,7,14/01/2024,1,6,1,2
Area-11,7,17/01/2024,1,2,0,2
Area-11,7,18/01/2024,1,3,0,2
Area-11,7,21/01/2024,2,6,1,2
Area-11,7,22/01/2024,2,0,0,2
Area-11,7,27/01/2024,1,5,1,2
Area-11,8,03/01/2024,2,2,0,2
Area-11,8,05/01/2024,1,4,0,2
Area-11,8,10/01/2024,1,2,0,2
Area-11,8,11/01/2024,1,3,0,2
Area-11,8,12/01/2024,1,4,0,2
Area-11,8,13/01/2024,1,5,1,2
Area-11,8,21/01/2024,1,6,1,2
Area-11,8,27/01/2024,1,5,1,2
Area-11,9,02/01/2024,1,1,0,2
Area-11,9,03/01/2024,1,2,0,2
Area-11,9,08/01/2024,2,0,0,2
Area-11,9,09/01/2024,1,1,0,2
Area-11,9,10/01/2024,1,2,0,2
Area-11,9,12/01/2024,1,4,0,2
Area-11,9,16/01/2024,2,1,0,2
Area-11,9,17/01/2024,1,2,0,2
Area-11,9,18/01/2024,1,3,0,2
Area-11,9,20/01/2024,2,5,1,2
Area-11,9,21/01/2024,2,6,1,2
Area-11,9,22/01/2024,1,0,0,2
Area-11,9,23/01/2024,1,1,0,2
Area-11,9,27/01/2024,1,5,1,2
Area-11,9,28/01/2024,1,6,1,2
Area-11,10,01/01/2024,1,0,0,2
Area-11,10,08/01/2024,1,0,0,2
Area-11,10,09/01/2024,1,1,0,2
Area-11,10,10/01/2024,1,2,0,2
Area-11,10,13/01/2024,1,5,1,2
Area-11,10,14/01/2024,1,6,1,2
Area-11,10,16/01/2024,1,1,0,2
Area-11,10,17/01/2024,1,2,0,2
Area-11,10,19/01/2024,1,4,0,2
Area-11,10,20/01/2024,1,5,1,2
Area-11,10,22/01/2024,1,0,0,2
Area-11,10,24/01/2024,2,2,0,2
Area-11,10,26/01/2024,1,4,0,2
Area-11,10,28/01/2024,1,6,1,2
Area-11,11,04/01/2024,1,3,0,2
Area-11,11,06/01/2024,1,5,1,2
Area-11,11,09/01/2024,1,1,0,2
Area-11,11,11/01/2024,3,3,0,2
Area-11,11,15/01/2024,1,0,0,2
Area-11,11,25/01/2024,1,3,0,2
Area-11,12,04/01/2024,2,3,0,2
Area-11,12,08/01/2024,2,0,0,2
Area-11,12,09/01/2024,2,1,0,2
Area-11,12,15/01/2024,1,0,0,2
Area-11,12,18/01/2024,2,3,0,2
Area-11,12,19/01/2024,1,4,0,2
Area-11,12,23/01/2024,1,1,0,2
Area-11,12,24/01/2024,1,2,0,2
Area-11,12,25/01/2024,1,3,0,2
Area-11,12,27/01/2024,1,5,1,2
Area-11,13,01/01/2024,1,0,0,2
Area-11,13,02/01/2024,1,1,0,2
Area-11,13,03/01/2024,1,2,0,2
Area-11,13,22/01/2024,1,0,0,2
Area-11,13,24/01/2024,1,2,0,2
Area-11,13,25/01/2024,2,3,0,2
Area-11,13,27/01/2024,1,5,1,2
Area-11,13,28/01/2024,1,6,1,2
Area-11,13,29/01/2024,1,0,0,2
Area-11,14,04/01/2024,1,3,0,2
Area-11,14,08/01/2024,2,0,0,2
Area-11,14,10/01/2024,1,2,0,2
Area-11,14,11/01/2024,1,3,0,2
Area-11,14,14/01/2024,1,6,1,2
Area-11,14,17/01/2024,1,2,0,2
Area-11,14,18/01/2024,1,3,0,2
Area-11,14,19/01/2024,1,4,0,2
Area-11,14,21/01/2024,2,6,1,2
Area-11,14,23/01/2024,1,1,0,2
Area-11,14,25/01/2024,1,3,0,2
Area-11,14,26/01/2024,1,4,0,2
Area-11,14,30/01/2024,1,1,0,2
Area-11,15,02/01/2024,1,1,0,2
Area-11,15,08/01/2024,1,0,0,2
Area-11,15,14/01/2024,1,6,1,2
Area-11,15,15/01/2024,1,0,0,2
Area-11,15,17/01/2024,1,2,0,2
Area-11,15,20/01/2024,1,5,1,2
Area-11,15,22/01/2024,1,0,0,2
